"digits","algorithm","n_neighbors","metric","sizes","digit","precision","recall","f1_score","support"
1,"auto",50,"euclidean",5,1,"     0.49","    0.95","     0.65",95
2,"auto",50,"euclidean",5,2,"     0.95","    0.49","     0.64",111
3,"auto",50,"euclidean",5,3,"     0.76","    0.91","     0.83",103
4,"auto",50,"euclidean",5,4,"     0.88","    0.80","     0.84",95
5,"auto",50,"euclidean",5,5,"     0.74","    0.79","     0.77",97
6,"auto",50,"euclidean",5,6,"     0.91","    0.85","     0.88",106
7,"auto",50,"euclidean",5,7,"     0.53","    0.71","     0.61",97
8,"auto",50,"euclidean",5,8,"     0.85","    0.52","     0.64",87
9,"auto",50,"euclidean",5,9,"     0.86","    0.45","     0.59",112
0,"ball_tree",50,"euclidean",5,0,"     0.83","    0.95","     0.88",97
1,"ball_tree",50,"euclidean",5,1,"     0.48","    0.95","     0.64",95
2,"ball_tree",50,"euclidean",5,2,"     0.96","    0.49","     0.65",111
3,"ball_tree",50,"euclidean",5,3,"     0.75","    0.89","     0.82",103
4,"ball_tree",50,"euclidean",5,4,"     0.86","    0.81","     0.83",95
5,"ball_tree",50,"euclidean",5,5,"     0.73","    0.78","     0.76",97
6,"ball_tree",50,"euclidean",5,6,"     0.91","    0.85","     0.88",106
7,"ball_tree",50,"euclidean",5,7,"     0.55","    0.69","     0.61",97
8,"ball_tree",50,"euclidean",5,8,"     0.84","    0.49","     0.62",87
9,"ball_tree",50,"euclidean",5,9,"     0.83","    0.43","     0.56",112
0,"kd_tree",50,"euclidean",5,0,"     0.84","    0.95","     0.89",97
1,"kd_tree",50,"euclidean",5,1,"     0.49","    0.95","     0.65",95
2,"kd_tree",50,"euclidean",5,2,"     0.95","    0.49","     0.64",111
3,"kd_tree",50,"euclidean",5,3,"     0.76","    0.91","     0.83",103
4,"kd_tree",50,"euclidean",5,4,"     0.88","    0.80","     0.84",95
5,"kd_tree",50,"euclidean",5,5,"     0.74","    0.79","     0.77",97
6,"kd_tree",50,"euclidean",5,6,"     0.91","    0.85","     0.88",106
7,"kd_tree",50,"euclidean",5,7,"     0.53","    0.71","     0.61",97
8,"kd_tree",50,"euclidean",5,8,"     0.85","    0.52","     0.64",87
9,"kd_tree",50,"euclidean",5,9,"     0.86","    0.45","     0.59",112
0,"brute",50,"euclidean",5,0,"     0.83","    0.94","     0.88",97
1,"brute",50,"euclidean",5,1,"     0.49","    0.95","     0.65",95
2,"brute",50,"euclidean",5,2,"     0.96","    0.47","     0.63",111
3,"brute",50,"euclidean",5,3,"     0.76","    0.90","     0.83",103
4,"brute",50,"euclidean",5,4,"     0.86","    0.79","     0.82",95
5,"brute",50,"euclidean",5,5,"     0.77","    0.81","     0.79",97
6,"brute",50,"euclidean",5,6,"     0.89","    0.87","     0.88",106
7,"brute",50,"euclidean",5,7,"     0.52","    0.70","     0.59",97
8,"brute",50,"euclidean",5,8,"     0.90","    0.51","     0.65",87
9,"brute",50,"euclidean",5,9,"     0.81","    0.41","     0.54",112
0,"auto",1,"manhattan",5,0,"     0.89","    0.88","     0.88",97
1,"auto",1,"manhattan",5,1,"     0.75","    0.97","     0.85",95
2,"auto",1,"manhattan",5,2,"     0.90","    0.66","     0.76",111
3,"auto",1,"manhattan",5,3,"     0.79","    0.86","     0.83",103
4,"auto",1,"manhattan",5,4,"     0.87","    0.80","     0.84",95
5,"auto",1,"manhattan",5,5,"     0.77","    0.80","     0.79",97
6,"auto",1,"manhattan",5,6,"     0.90","    0.89","     0.89",106
7,"auto",1,"manhattan",5,7,"     0.61","    0.82","     0.70",97
8,"auto",1,"manhattan",5,8,"     0.75","    0.59","     0.66",87
9,"auto",1,"manhattan",5,9,"     0.77","    0.66","     0.71",112
0,"ball_tree",1,"manhattan",5,0,"     0.90","    0.88","     0.89",97
1,"ball_tree",1,"manhattan",5,1,"     0.74","    0.97","     0.84",95
2,"ball_tree",1,"manhattan",5,2,"     0.91","    0.66","     0.76",111
3,"ball_tree",1,"manhattan",5,3,"     0.79","    0.87","     0.83",103
4,"ball_tree",1,"manhattan",5,4,"     0.85","    0.81","     0.83",95
5,"ball_tree",1,"manhattan",5,5,"     0.78","    0.80","     0.79",97
6,"ball_tree",1,"manhattan",5,6,"     0.88","    0.89","     0.88",106
7,"ball_tree",1,"manhattan",5,7,"     0.62","    0.78","     0.69",97
8,"ball_tree",1,"manhattan",5,8,"     0.76","    0.60","     0.67",87
9,"ball_tree",1,"manhattan",5,9,"     0.76","    0.67","     0.71",112
0,"kd_tree",1,"manhattan",5,0,"     0.89","    0.88","     0.88",97
1,"kd_tree",1,"manhattan",5,1,"     0.75","    0.97","     0.85",95
2,"kd_tree",1,"manhattan",5,2,"     0.90","    0.66","     0.76",111
3,"kd_tree",1,"manhattan",5,3,"     0.79","    0.86","     0.83",103
4,"kd_tree",1,"manhattan",5,4,"     0.87","    0.80","     0.84",95
5,"kd_tree",1,"manhattan",5,5,"     0.77","    0.80","     0.79",97
6,"kd_tree",1,"manhattan",5,6,"     0.90","    0.89","     0.89",106
7,"kd_tree",1,"manhattan",5,7,"     0.61","    0.82","     0.70",97
8,"kd_tree",1,"manhattan",5,8,"     0.75","    0.59","     0.66",87
9,"kd_tree",1,"manhattan",5,9,"     0.77","    0.66","     0.71",112
0,"brute",1,"manhattan",5,0,"     0.90","    0.88","     0.89",97
1,"brute",1,"manhattan",5,1,"     0.76","    0.96","     0.85",95
2,"brute",1,"manhattan",5,2,"     0.94","    0.65","     0.77",111
3,"brute",1,"manhattan",5,3,"     0.78","    0.90","     0.83",103
4,"brute",1,"manhattan",5,4,"     0.91","    0.82","     0.86",95
5,"brute",1,"manhattan",5,5,"     0.81","    0.82","     0.82",97
6,"brute",1,"manhattan",5,6,"     0.89","    0.87","     0.88",106
7,"brute",1,"manhattan",5,7,"     0.62","    0.80","     0.70",97
8,"brute",1,"manhattan",5,8,"     0.78","    0.66","     0.71",87
9,"brute",1,"manhattan",5,9,"     0.74","    0.69","     0.71",112
0,"auto",5,"manhattan",5,0,"     0.88","    0.94","     0.91",97
1,"auto",5,"manhattan",5,1,"     0.68","    0.96","     0.79",95
2,"auto",5,"manhattan",5,2,"     0.97","    0.68","     0.80",111
3,"auto",5,"manhattan",5,3,"     0.79","    0.90","     0.85",103
4,"auto",5,"manhattan",5,4,"     0.84","    0.84","     0.84",95
5,"auto",5,"manhattan",5,5,"     0.74","    0.80","     0.77",97
6,"auto",5,"manhattan",5,6,"     0.94","    0.92","     0.93",106
7,"auto",5,"manhattan",5,7,"     0.60","    0.82","     0.69",97
8,"auto",5,"manhattan",5,8,"     0.82","    0.54","     0.65",87
9,"auto",5,"manhattan",5,9,"     0.83","    0.55","     0.66",112
0,"ball_tree",5,"manhattan",5,0,"     0.88","    0.94","     0.91",97
1,"ball_tree",5,"manhattan",5,1,"     0.67","    0.96","     0.79",95
2,"ball_tree",5,"manhattan",5,2,"     0.94","    0.67","     0.78",111
3,"ball_tree",5,"manhattan",5,3,"     0.78","    0.90","     0.84",103
4,"ball_tree",5,"manhattan",5,4,"     0.81","    0.83","     0.82",95
5,"ball_tree",5,"manhattan",5,5,"     0.73","    0.79","     0.76",97
6,"ball_tree",5,"manhattan",5,6,"     0.93","    0.92","     0.92",106
7,"ball_tree",5,"manhattan",5,7,"     0.57","    0.77","     0.66",97
8,"ball_tree",5,"manhattan",5,8,"     0.83","    0.52","     0.64",87
9,"ball_tree",5,"manhattan",5,9,"     0.81","    0.52","     0.63",112
0,"kd_tree",5,"manhattan",5,0,"     0.88","    0.94","     0.91",97
1,"kd_tree",5,"manhattan",5,1,"     0.68","    0.96","     0.79",95
2,"kd_tree",5,"manhattan",5,2,"     0.97","    0.68","     0.80",111
3,"kd_tree",5,"manhattan",5,3,"     0.79","    0.90","     0.85",103
4,"kd_tree",5,"manhattan",5,4,"     0.84","    0.84","     0.84",95
5,"kd_tree",5,"manhattan",5,5,"     0.74","    0.80","     0.77",97
6,"kd_tree",5,"manhattan",5,6,"     0.94","    0.92","     0.93",106
7,"kd_tree",5,"manhattan",5,7,"     0.60","    0.82","     0.69",97
8,"kd_tree",5,"manhattan",5,8,"     0.82","    0.54","     0.65",87
9,"kd_tree",5,"manhattan",5,9,"     0.83","    0.55","     0.66",112
0,"brute",5,"manhattan",5,0,"     0.85","    0.95","     0.90",97
1,"brute",5,"manhattan",5,1,"     0.68","    0.97","     0.80",95
2,"brute",5,"manhattan",5,2,"     0.92","    0.66","     0.77",111
3,"brute",5,"manhattan",5,3,"     0.83","    0.90","     0.87",103
4,"brute",5,"manhattan",5,4,"     0.82","    0.82","     0.82",95
5,"brute",5,"manhattan",5,5,"     0.75","    0.85","     0.80",97
6,"brute",5,"manhattan",5,6,"     0.93","    0.89","     0.91",106
7,"brute",5,"manhattan",5,7,"     0.60","    0.79","     0.68",97
8,"brute",5,"manhattan",5,8,"     0.88","    0.56","     0.69",87
9,"brute",5,"manhattan",5,9,"     0.81","    0.55","     0.66",112
0,"auto",10,"manhattan",5,0,"     0.87","    0.94","     0.90",97
1,"auto",10,"manhattan",5,1,"     0.63","    0.98","     0.77",95
2,"auto",10,"manhattan",5,2,"     0.93","    0.61","     0.74",111
3,"auto",10,"manhattan",5,3,"     0.78","    0.90","     0.83",103
4,"auto",10,"manhattan",5,4,"     0.86","    0.83","     0.84",95
5,"auto",10,"manhattan",5,5,"     0.78","    0.78","     0.78",97
6,"auto",10,"manhattan",5,6,"     0.94","    0.89","     0.91",106
7,"auto",10,"manhattan",5,7,"     0.58","    0.84","     0.69",97
8,"auto",10,"manhattan",5,8,"     0.85","    0.54","     0.66",87
9,"auto",10,"manhattan",5,9,"     0.80","    0.51","     0.62",112
0,"ball_tree",10,"manhattan",5,0,"     0.88","    0.95","     0.91",97
1,"ball_tree",10,"manhattan",5,1,"     0.62","    0.98","     0.76",95
2,"ball_tree",10,"manhattan",5,2,"     0.93","    0.64","     0.76",111
3,"ball_tree",10,"manhattan",5,3,"     0.79","    0.90","     0.84",103
4,"ball_tree",10,"manhattan",5,4,"     0.86","    0.82","     0.84",95
5,"ball_tree",10,"manhattan",5,5,"     0.79","    0.77","     0.78",97
6,"ball_tree",10,"manhattan",5,6,"     0.93","    0.91","     0.92",106
7,"ball_tree",10,"manhattan",5,7,"     0.58","    0.80","     0.68",97
8,"ball_tree",10,"manhattan",5,8,"     0.84","    0.54","     0.66",87
9,"ball_tree",10,"manhattan",5,9,"     0.79","    0.52","     0.63",112
0,"kd_tree",10,"manhattan",5,0,"     0.87","    0.94","     0.90",97
1,"kd_tree",10,"manhattan",5,1,"     0.63","    0.98","     0.77",95
2,"kd_tree",10,"manhattan",5,2,"     0.93","    0.61","     0.74",111
3,"kd_tree",10,"manhattan",5,3,"     0.78","    0.90","     0.83",103
4,"kd_tree",10,"manhattan",5,4,"     0.86","    0.83","     0.84",95
5,"kd_tree",10,"manhattan",5,5,"     0.78","    0.78","     0.78",97
6,"kd_tree",10,"manhattan",5,6,"     0.94","    0.89","     0.91",106
7,"kd_tree",10,"manhattan",5,7,"     0.58","    0.84","     0.69",97
8,"kd_tree",10,"manhattan",5,8,"     0.85","    0.54","     0.66",87
9,"kd_tree",10,"manhattan",5,9,"     0.80","    0.51","     0.62",112
0,"brute",10,"manhattan",5,0,"     0.88","    0.95","     0.92",97
1,"brute",10,"manhattan",5,1,"     0.63","    0.98","     0.77",95
2,"brute",10,"manhattan",5,2,"     0.96","    0.61","     0.75",111
3,"brute",10,"manhattan",5,3,"     0.75","    0.88","     0.81",103
4,"brute",10,"manhattan",5,4,"     0.89","    0.84","     0.86",95
5,"brute",10,"manhattan",5,5,"     0.75","    0.78","     0.76",97
6,"brute",10,"manhattan",5,6,"     0.94","    0.92","     0.93",106
7,"brute",10,"manhattan",5,7,"     0.57","    0.81","     0.67",97
8,"brute",10,"manhattan",5,8,"     0.90","    0.54","     0.68",87
9,"brute",10,"manhattan",5,9,"     0.81","    0.51","     0.63",112
0,"auto",20,"manhattan",5,0,"     0.87","    0.95","     0.91",97
1,"auto",20,"manhattan",5,1,"     0.58","    0.97","     0.73",95
2,"auto",20,"manhattan",5,2,"     0.97","    0.56","     0.71",111
3,"auto",20,"manhattan",5,3,"     0.77","    0.92","     0.84",103
4,"auto",20,"manhattan",5,4,"     0.90","    0.83","     0.86",95
5,"auto",20,"manhattan",5,5,"     0.77","    0.79","     0.78",97
6,"auto",20,"manhattan",5,6,"     0.91","    0.89","     0.90",106
7,"auto",20,"manhattan",5,7,"     0.55","    0.80","     0.66",97
8,"auto",20,"manhattan",5,8,"     0.94","    0.55","     0.70",87
9,"auto",20,"manhattan",5,9,"     0.80","    0.47","     0.60",112
0,"ball_tree",20,"manhattan",5,0,"     0.87","    0.95","     0.91",97
1,"ball_tree",20,"manhattan",5,1,"     0.57","    0.97","     0.72",95
2,"ball_tree",20,"manhattan",5,2,"     0.92","    0.54","     0.68",111
3,"ball_tree",20,"manhattan",5,3,"     0.79","    0.89","     0.84",103
4,"ball_tree",20,"manhattan",5,4,"     0.88","    0.83","     0.85",95
5,"ball_tree",20,"manhattan",5,5,"     0.76","    0.81","     0.79",97
6,"ball_tree",20,"manhattan",5,6,"     0.91","    0.88","     0.89",106
7,"ball_tree",20,"manhattan",5,7,"     0.57","    0.76","     0.65",97
8,"ball_tree",20,"manhattan",5,8,"     0.92","    0.55","     0.69",87
9,"ball_tree",20,"manhattan",5,9,"     0.79","    0.51","     0.62",112
0,"kd_tree",20,"manhattan",5,0,"     0.87","    0.95","     0.91",97
1,"kd_tree",20,"manhattan",5,1,"     0.58","    0.97","     0.73",95
2,"kd_tree",20,"manhattan",5,2,"     0.97","    0.56","     0.71",111
3,"kd_tree",20,"manhattan",5,3,"     0.77","    0.92","     0.84",103
4,"kd_tree",20,"manhattan",5,4,"     0.90","    0.83","     0.86",95
5,"kd_tree",20,"manhattan",5,5,"     0.77","    0.79","     0.78",97
6,"kd_tree",20,"manhattan",5,6,"     0.91","    0.89","     0.90",106
7,"kd_tree",20,"manhattan",5,7,"     0.55","    0.80","     0.66",97
8,"kd_tree",20,"manhattan",5,8,"     0.94","    0.55","     0.70",87
9,"kd_tree",20,"manhattan",5,9,"     0.80","    0.47","     0.60",112
0,"brute",20,"manhattan",5,0,"     0.84","    0.95","     0.89",97
1,"brute",20,"manhattan",5,1,"     0.60","    0.97","     0.74",95
2,"brute",20,"manhattan",5,2,"     0.96","    0.58","     0.72",111
3,"brute",20,"manhattan",5,3,"     0.80","    0.91","     0.85",103
4,"brute",20,"manhattan",5,4,"     0.91","    0.82","     0.86",95
5,"brute",20,"manhattan",5,5,"     0.79","    0.81","     0.80",97
6,"brute",20,"manhattan",5,6,"     0.93","    0.87","     0.90",106
7,"brute",20,"manhattan",5,7,"     0.54","    0.78","     0.64",97
8,"brute",20,"manhattan",5,8,"     0.89","    0.56","     0.69",87
9,"brute",20,"manhattan",5,9,"     0.77","    0.50","     0.61",112
0,"auto",50,"manhattan",5,0,"     0.84","    0.95","     0.89",97
1,"auto",50,"manhattan",5,1,"     0.49","    0.95","     0.65",95
2,"auto",50,"manhattan",5,2,"     0.95","    0.49","     0.64",111
3,"auto",50,"manhattan",5,3,"     0.76","    0.91","     0.83",103
4,"auto",50,"manhattan",5,4,"     0.88","    0.80","     0.84",95
5,"auto",50,"manhattan",5,5,"     0.74","    0.79","     0.77",97
6,"auto",50,"manhattan",5,6,"     0.91","    0.85","     0.88",106
7,"auto",50,"manhattan",5,7,"     0.53","    0.71","     0.61",97
8,"auto",50,"manhattan",5,8,"     0.85","    0.52","     0.64",87
9,"auto",50,"manhattan",5,9,"     0.86","    0.45","     0.59",112
0,"ball_tree",50,"manhattan",5,0,"     0.83","    0.95","     0.88",97
1,"ball_tree",50,"manhattan",5,1,"     0.48","    0.95","     0.64",95
2,"ball_tree",50,"manhattan",5,2,"     0.96","    0.49","     0.65",111
3,"ball_tree",50,"manhattan",5,3,"     0.75","    0.88","     0.81",103
4,"ball_tree",50,"manhattan",5,4,"     0.86","    0.81","     0.83",95
5,"ball_tree",50,"manhattan",5,5,"     0.73","    0.78","     0.76",97
6,"ball_tree",50,"manhattan",5,6,"     0.91","    0.85","     0.88",106
7,"ball_tree",50,"manhattan",5,7,"     0.55","    0.69","     0.61",97
8,"ball_tree",50,"manhattan",5,8,"     0.83","    0.49","     0.62",87
9,"ball_tree",50,"manhattan",5,9,"     0.83","    0.43","     0.56",112
0,"kd_tree",50,"manhattan",5,0,"     0.84","    0.95","     0.89",97
1,"kd_tree",50,"manhattan",5,1,"     0.49","    0.95","     0.65",95
2,"kd_tree",50,"manhattan",5,2,"     0.95","    0.49","     0.64",111
3,"kd_tree",50,"manhattan",5,3,"     0.76","    0.91","     0.83",103
4,"kd_tree",50,"manhattan",5,4,"     0.88","    0.80","     0.84",95
5,"kd_tree",50,"manhattan",5,5,"     0.74","    0.79","     0.77",97
6,"kd_tree",50,"manhattan",5,6,"     0.91","    0.85","     0.88",106
7,"kd_tree",50,"manhattan",5,7,"     0.53","    0.71","     0.61",97
8,"kd_tree",50,"manhattan",5,8,"     0.85","    0.52","     0.64",87
9,"kd_tree",50,"manhattan",5,9,"     0.86","    0.45","     0.59",112
0,"brute",50,"manhattan",5,0,"     0.83","    0.94","     0.88",97
1,"brute",50,"manhattan",5,1,"     0.49","    0.95","     0.65",95
2,"brute",50,"manhattan",5,2,"     0.96","    0.47","     0.63",111
3,"brute",50,"manhattan",5,3,"     0.76","    0.90","     0.83",103
4,"brute",50,"manhattan",5,4,"     0.86","    0.79","     0.82",95
5,"brute",50,"manhattan",5,5,"     0.77","    0.81","     0.79",97
6,"brute",50,"manhattan",5,6,"     0.89","    0.87","     0.88",106
7,"brute",50,"manhattan",5,7,"     0.52","    0.70","     0.59",97
8,"brute",50,"manhattan",5,8,"     0.90","    0.51","     0.65",87
9,"brute",50,"manhattan",5,9,"     0.81","    0.41","     0.54",112
0,"auto",1,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"auto",1,"chebyshev",10,1,"     0.09","    0.06","     0.07",95
2,"auto",1,"chebyshev",10,2,"     0.07","    0.33","     0.12",111
3,"auto",1,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"auto",1,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"auto",1,"chebyshev",10,5,"     0.10","    0.21","     0.13",97
6,"auto",1,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"auto",1,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"auto",1,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"auto",1,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"ball_tree",1,"chebyshev",10,0,"     0.00","     0.00","     0.00",97
1,"ball_tree",1,"chebyshev",10,1,"     0.09","    0.06","     0.07",95
2,"ball_tree",1,"chebyshev",10,2,"     0.07","    0.33","     0.12",111
3,"ball_tree",1,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"ball_tree",1,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"ball_tree",1,"chebyshev",10,5,"     0.10","    0.21","     0.13",97
6,"ball_tree",1,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"ball_tree",1,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"ball_tree",1,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"ball_tree",1,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"kd_tree",1,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"kd_tree",1,"chebyshev",10,1,"     0.09","    0.06","     0.07",95
2,"kd_tree",1,"chebyshev",10,2,"     0.07","    0.33","     0.12",111
3,"kd_tree",1,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"kd_tree",1,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"kd_tree",1,"chebyshev",10,5,"     0.10","    0.21","     0.13",97
6,"kd_tree",1,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"kd_tree",1,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"kd_tree",1,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"kd_tree",1,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"brute",1,"chebyshev",10,0,"     0.00","    0.00","     0.00",97
1,"brute",1,"chebyshev",10,1,"     1.00","    0.01","     0.02",95
2,"brute",1,"chebyshev",10,2,"     0.00","    0.00","     0.00",111
3,"brute",1,"chebyshev",10,3,"     0.00","    0.00","     0.00",103
4,"brute",1,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"brute",1,"chebyshev",10,5,"     0.00","    0.00","     0.00",97
6,"brute",1,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"brute",1,"chebyshev",10,7,"     0.10","    1.00","     0.18",97
8,"brute",1,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"brute",1,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"auto",5,"chebyshev",10,0,"     0.12","    0.21","     0.15",97
1,"auto",5,"chebyshev",10,1,"     0.09","    0.06","     0.07",95
2,"auto",5,"chebyshev",10,2,"     0.07","    0.33","     0.12",111
3,"auto",5,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"auto",5,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"auto",5,"chebyshev",10,5,"     0.02","    0.01","     0.01",97
6,"auto",5,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"auto",5,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
8,"auto",5,"chebyshev",10,8,"     0.00","    0.00","     0.00",87
9,"auto",5,"chebyshev",10,9,"     0.00","    0.00","     0.00",112
0,"ball_tree",5,"chebyshev",10,0,"     0.12","    0.21","     0.15",97
1,"ball_tree",5,"chebyshev",10,1,"     0.09","    0.06","     0.07",95
2,"ball_tree",5,"chebyshev",10,2,"     0.07","    0.33","     0.12",111
3,"ball_tree",5,"chebyshev",10,3,"     0.12","    0.25","     0.17",103
4,"ball_tree",5,"chebyshev",10,4,"     0.00","    0.00","     0.00",95
5,"ball_tree",5,"chebyshev",10,5,"     0.02","    0.01","     0.01",97
6,"ball_tree",5,"chebyshev",10,6,"     0.00","    0.00","     0.00",106
7,"ball_tree",5,"chebyshev",10,7,"     0.00","    0.00","     0.00",97
